,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape
77,2,0.85,0.7,lin,2,20,3.741627199243984,0.9108532534055598,5,162.0,7.904613015068146,0.7568536653034186,7,165.0,26.620287964066712,0.4226851056136727,16,153.0,5.8597374261836315,0.9032646924422785,7,137.0,15.135420069253597,0.6099693865801102,6,192.0,0.720725220669008,11.852337134763214
78,2,0.85,0.7,dectree,1,5,4.550695413922872,0.8404263998663223,5,48.0,9.74922412032367,0.50518819482137,6,84.0,42.17337745451674,0.28939427266986506,9,65.0,16.307171786391233,-3.382963771462725,2,34.0,12.563028795948144,0.8260973493048116,3,56.0,-0.1843715109600712,17.068699514220533
79,2,0.85,0.7,dectree,1,10,3.4690278665824796,0.9150271974254526,10,151.0,7.961541564030831,0.7248933694835553,4,181.0,21.88907548134841,0.6147337620818385,18,261.0,3.617187664372474,0.9203605214668177,9,143.0,11.242763554193873,0.7946732598546327,8,261.0,0.7939376220624593,9.635919226105612
80,2,0.85,0.7,dectree,1,20,3.5347552534868725,0.9152342340124383,10,151.0,6.34392497626566,0.802765029870413,5,180.0,26.484892699232237,0.5505210694477571,18,261.0,4.428071146324192,0.9295952348189074,8,142.0,14.111992059970884,,10,291.0,,10.980727227055969
81,2,0.85,0.7,dectree,2,5,3.6436278832074525,0.9129322028345105,5,142.0,6.2081478922873625,0.8632877787022195,7,172.0,29.138571605733866,0.5021660032542593,14,186.0,6.607643646093485,0.8408069749054392,6,127.0,15.70270855081158,0.5599791435922561,6,202.0,0.735834420657737,12.260139915626748
82,2,0.85,0.7,dectree,2,10,3.804044846343677,0.8931057308993304,7,72.0,8.021590863105756,0.7423180213451592,6,104.0,15.979550409782417,0.8523458324027833,13,84.0,17.11214924459494,-3.786652204918072,5,65.0,14.602221414604145,0.8928608672879862,8,161.0,-0.08120435059656257,11.903911355686187
83,2,0.85,0.7,dectree,2,20,3.741627199243984,0.9108532534055598,5,162.0,7.904613015068146,0.7568536653034186,7,165.0,26.620287964066712,0.4226851056136727,16,153.0,5.8597374261836315,0.9032646924422785,7,137.0,15.135420069253597,0.6099693865801102,6,192.0,0.720725220669008,11.852337134763214
84,2,0.85,0.85,lin,1,5,3.4690278665824796,0.9150271974254526,10,151.0,7.961541564030831,0.7248933694835553,4,181.0,21.88907548134841,0.6147337620818385,18,261.0,3.617187664372474,0.9203605214668177,9,143.0,11.242763554193873,0.7946732598546327,8,261.0,0.7939376220624593,9.635919226105612
85,2,0.85,0.85,lin,1,10,4.550695413922872,0.8404263998663223,5,48.0,9.74922412032367,0.50518819482137,6,84.0,42.17337745451674,0.28939427266986506,9,65.0,16.307171786391233,-3.382963771462725,2,34.0,12.563028795948144,0.8260973493048116,3,56.0,-0.1843715109600712,17.068699514220533
86,2,0.85,0.85,lin,1,20,4.039856735111962,0.8797834789777282,8,90.0,6.665507411079999,0.8242609924235046,7,119.0,12.41566420404188,0.8733740924111553,11,88.0,16.499358506380975,-3.3855775140488484,4,65.0,14.413204522491569,0.8837179918714818,7,138.0,0.015111808327004294,10.806718275821277
87,2,0.85,0.85,lin,2,5,3.6436278832074525,0.9129322028345105,5,142.0,6.2081478922873625,0.8632877787022195,7,172.0,29.138571605733866,0.5021660032542593,14,186.0,6.607643646093485,0.8408069749054392,6,127.0,15.70270855081158,0.5599791435922561,6,202.0,0.735834420657737,12.260139915626748
88,2,0.85,0.85,lin,2,10,3.5347552534868725,0.9152342340124383,10,151.0,6.34392497626566,0.802765029870413,5,180.0,26.484892699232237,0.5505210694477571,18,261.0,4.428071146324192,0.9295952348189074,8,142.0,14.111992059970884,,10,291.0,,10.980727227055969
89,2,0.85,0.85,lin,2,20,3.741627199243984,0.9108532534055598,5,162.0,7.904613015068146,0.7568536653034186,7,165.0,26.620287964066712,0.4226851056136727,16,153.0,5.8597374261836315,0.9032646924422785,7,137.0,15.135420069253597,0.6099693865801102,6,192.0,0.720725220669008,11.852337134763214
