,amount_of_feats_to_reg,corr_cutoff_bound,linear_reg_to,next_predictor_provider,order,req_neighs,Rm_mape,Rm_r2,Rm_missing_from_test,Rm_missing,Rp02_mape,Rp02_r2,Rp02_missing_from_test,Rp02_missing,A5_mape,A5_r2,A5_missing_from_test,A5_missing,HB_mape,HB_r2,HB_missing_from_test,HB_missing,K_mape,K_r2,K_missing_from_test,K_missing,avg_r2,avg_mape,missing_all,missing_test_percent
19,1,0.85,0.85,dectree,1,10,5.297725162164724,0.7949963104363272,1,13.0,7.026426835918348,0.7776098358539667,1,20.0,18.58176415293909,0.01045697463003592,13,155.0,5.519271100726578,0.7584411704752291,5,18.0,12.353865527297089,0.6762017702928638,6,153.0,0.6035412123376845,9.755810555809166,359.0,0.3023255813953488
119,2,0.9,0.85,dectree,2,20,3.122238223879557,0.93178119461277,12,196.0,7.6523527377534535,0.7750649670585655,4,185.0,18.834459459459456,-88.57396449704156,19,280.0,6.276650278894771,0.8084795240949818,8,153.0,13.103875572084824,,10,326.0,,9.797915254414413,1140.0,0.6162790697674418
125,2,0.95,0.7,lin,2,20,3.274954591450251,0.9376774967737188,13,166.0,9.85119613853293,0.6809189699716325,7,191.0,19.032720014658196,-103.83600008401994,19,280.0,3.59858150028796,0.9416775782768236,12,161.0,14.111992059970884,,10,326.0,,9.973888860980045,1124.0,0.7093023255813954
137,2,0.95,0.85,lin,2,20,3.274954591450251,0.9376774967737188,13,166.0,9.85119613853293,0.6809189699716325,7,191.0,19.032720014658196,-103.83600008401994,19,280.0,3.59858150028796,0.9416775782768236,12,161.0,14.111992059970884,,10,326.0,,9.973888860980045,1124.0,0.7093023255813954
130,2,0.95,0.7,dectree,2,10,3.274954591450251,0.9376774967737188,13,166.0,9.85119613853293,0.6809189699716325,7,191.0,19.032720014658196,-103.83600008401994,19,280.0,3.59858150028796,0.9416775782768236,12,161.0,14.111992059970884,,10,326.0,,9.973888860980045,1124.0,0.7093023255813954
8,1,0.85,0.7,dectree,1,20,7.062092688243167,0.5915318662000288,2,8.0,7.429201455105101,0.7915952515471743,1,12.0,19.824251551279886,0.44481253523087416,14,258.0,3.8953851874581793,0.9205634437930178,6,125.0,11.92638665923572,0.683026991004559,7,182.0,0.6863060175551308,10.027463508264411,585.0,0.3488372093023256
13,1,0.85,0.85,lin,1,10,7.062092688243167,0.5915318662000288,2,8.0,7.429201455105101,0.7915952515471743,1,12.0,19.824251551279886,0.44481253523087416,14,258.0,3.8953851874581793,0.9205634437930178,6,125.0,11.92638665923572,0.683026991004559,7,182.0,0.6863060175551308,10.027463508264411,585.0,0.3488372093023256
18,1,0.85,0.85,dectree,1,5,7.062092688243167,0.5915318662000288,2,8.0,7.429201455105101,0.7915952515471743,1,12.0,19.824251551279886,0.44481253523087416,14,258.0,3.8953851874581793,0.9205634437930178,6,125.0,11.92638665923572,0.683026991004559,7,182.0,0.6863060175551308,10.027463508264411,585.0,0.3488372093023256
47,1,0.9,0.85,dectree,2,20,6.490948834156272,0.6840316198022345,3,22.0,7.3077236855318946,0.7977051610022446,1,25.0,17.86986539756491,0.5344516634107113,15,262.0,3.7656810575966704,0.900067914791247,7,137.0,14.784002350564048,,10,327.0,,10.043644265082758,773.0,0.4186046511627907
41,1,0.9,0.85,lin,2,20,6.554821669958629,0.6808314970409897,3,22.0,7.3077236855318946,0.7977051610022446,1,25.0,18.015290969251666,0.5701751426789841,15,262.0,3.7627487901155074,0.9163313233571255,7,136.0,14.784002350564048,,10,326.0,,10.084917493084351,771.0,0.4186046511627907
